project_id,project_name,description,country_name,state_name,city_name,currency,budget_raw,budget_usd_clean,sector_main,project_type,is_infrastructure_project,is_megaproject,delivery_method,timestamp,timestamp_label,source,url,failed_or_problematic
366,Archipelago Saint-Paul Pavilion Redevelopment,"Redevelopment of adapted services, archipelago Saint-Paul pavilion at 10555, av. from Bois-de-Boulogne to Montreal.",Canada,Quebec,Montreal,CAD,749999.0,558246.75567,"Education, Government, Commercial",Unknown,False,False,Unknown,2023-02-03,publish_date,DODGE,https://www.construction.com/projects/dr-202300019443-archipelago-saint-paul-pavilion-redevelopment,0
367,CPB- Facility Operations - Building Envelope Proje,CPB- Facility Operations - Building Envelope Proje,Canada,Alberta,Calgary,CAD,6000000.0,4690764.0,"Commercial, Hydro, Government",Unknown,True,False,Unknown,2015-01-01,project_start_date,City of Calgary,https://www.calgary.ca/content/dam/www/cfod/finance/documents/action-plan/approved/action-plan-2015-2018-complete-approved.pdf,0
368,Re-Imagined Central Park - Playground,"Central Park is located at 454 King Street, Spruce Grove, Alberta. The concept design report was completed in the summer of 2023. The design development for the first phase includes the wheeled sports facilities, programmable plaza space, shade structure, trail connections, and a playground. As part of the design development, the playground equipment and surfacing were separated from the general park tender and decided to be executed under a separate contract. The intent of this Tender is to ...",Canada,Alberta,Spruce Grove,CAD,299999.0,223298.25567,"Manufacturing (Industrial), Government, Road, Commercial, Car Parking, Automotive",Unknown,False,False,Unknown,2024-10-21,publish_date,DODGE,https://www.construction.com/projects/dr-202400329805-re-imagined-central-park-playground,0
369,Central & Rotary Trail Improvements,"Through this Request for Proposals ( RFP ), the City of Merritt (the City ) invites Proposals from suitability qualified and experienced companies, to complete construction and / or reconstruction of approximately 2400m2 of pathways in Rotary and Central Parks in Merritt, BC. The new pathways will be surfaced with asphalt. Other minor remedial works is also included. Contract Time: The following are key milestone dates required for the Work: The Work may commence anytime after: May 1, 2022. S...",Canada,British Columbia,Merritt,CAD,500000.0,384073.5,"Commercial, Car Parking, Road, Mass Transit, Government, Automotive, Rail",Unknown,True,False,Unknown,2022-05-24,publish_date,DODGE,https://www.construction.com/projects/dr-202200557845-central-rotary-trail-improvements,0
370,Princeton Heights Townhouse,"A new single family home development by Fernbrook Homes at Yonge Street & Bloomington Road, Richmond Hill.",Canada,Ontario,Richmond Hill,CAD,14999999.0,11164949.25567,"Residential, Road, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2023-07-20,publish_date,DODGE,https://www.construction.com/projects/dr-202200636677-princeton-heights-townhouse,0
371,Boulevard De Sardaigne Extension Work,City of Candiac - #2501-ST - Extension work on Boulevard de Sardaigne in Candiac.,Canada,Quebec,Candiac,CAD,2999999.0,2232989.25567,"Government, Commercial, Raw Materials",Unknown,False,False,Unknown,2025-04-08,publish_date,DODGE,https://www.construction.com/projects/dr-202500106855-boulevard-de-sardaigne-extension-work,0
372,Renovation of the Arts and Letters Sector,"The project aims to build new editing rooms in cinema, develop an exhibition hall, build new depots, relocate tools from the art room, transform classrooms and laboratories in the main building (block C) of the Cégep de Granby. The project will support pandemic response and economic recovery, notably by maintaining and upgrading the quality of school infrastructure.",Canada,Quebec,Unknown,CAD,1828445.0,1458415.27156999,"Commercial, Government",Unknown,True,False,Unknown,2021-05-24,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
373,Bridgepoint Health,"The new Bridgepoint Hospital is located in Riverdale, at Broadview Avenue and Gerrard Street EastThe new hospital is a “campus of care,” integrating patient care, research and teaching in complex chronic disease and disability.The neighboring historic Don Jail was preserved and repurposed, bringing together world-class clinical, education, and research talent.The main entrance is publicly accessibleThe Rotunda was restored to its original beauty, and some cells and the gallows were preserved for historical purposes.",Canada,Unknown,Unknown,CAD,622000000.0,579346972.0,"Education, Hospital, Road, Government, Broadband, Telecommunications",Unknown,False,True,Unknown,2007-11-26,project_start_date,Infrastructre Ontario,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/bridgepoint-health/,0
374,Alton Road Rehabilitations,"This Request for Tender (the ""RFT"") is an invitation by the Town of Caledon (the ""Town"") to prospective bidders to submit bids for Request for Tender #2022-11 Town of Caledon Various Alton Road Rehabilitations.",Canada,Ontario,Caledon,CAD,868294.0,666977.431218,"Road, Government, Commercial",Unknown,True,False,Unknown,2022-07-30,publish_date,DODGE,https://www.construction.com/projects/dr-202200547823-alton-road-rehabilitations,0
375,Trafalgar Electrical Rooms Upgrades,Sheridan College - Trafalgar Electrical Rooms Upgrades,Canada,Ontario,Oakville,CAD,199999.0,148865.25567,"Education, Power Generation (Ccgt), Government, Commercial",Unknown,False,False,Unknown,2023-07-21,publish_date,DODGE,https://www.construction.com/projects/dr-202300261764-trafalgar-electrical-rooms-upgrades,0
